rep,subs_rate,BFClust2_ARI,BFClust2_JI,BFClust_ARI,BFClust_JI,CDHIT_ARI,CDHIT_JI,PIRATE_ARI,PIRATE_JI,PanX_ARI,PanX_JI,Panaroo_ARI,Panaroo_JI,Roary_ARI,Roary_JI,UClust_ARI,UClust_JI
4,1.00E-08,7.47E-05,0.192893401,7.58E-05,0.192576142,0.003804072,0.009200508,7.39E-05,0.198604061,0,0,7.30E-05,0.192576142,7.30E-05,0.192576142,0.004046697,0.009200508
4,1.00E-09,6.87E-05,0.203003176,9.34E-05,0.205890846,0.084241304,0.004331504,8.79E-05,0.211088651,0,0,7.52E-05,0.20358071,7.52E-05,0.20358071,0.084480296,0.004331504
4,1.00E-10,0.000729193,0.089770355,0.003570436,0.322696093,0.75738579,0.049209663,0.003372684,0.326573218,0.003589148,0.326573218,0.000712145,0.090963316,0.000712145,0.090963316,0.757725319,0.048911423
4,1.00E-11,0.0057803,0.102756892,0.028202314,0.89867526,0.955558902,0.999641962,0.026743683,0.904403867,0.030873032,0.904045829,0.027153876,0.694593627,0.027153876,0.694593627,0.954161732,0.998567848
4,1.00E-12,0.008710509,0.130060567,0.034395673,0.977685687,0.950684291,1,0.033344494,0.981829774,0.038261475,0.98055467,0.038257297,0.977366911,0.038257297,0.977366911,0.951334371,0.999681224
5,1.00E-07,9.78E-05,0.153980447,9.79E-05,0.153980447,0,0.00349162,0,0,0,0,9.80E-05,0.153980447,9.80E-05,0.153980447,0,0.00349162
5,1.00E-08,7.77E-05,0.178022615,8.18E-05,0.178312554,0.01090539,0.004059148,7.85E-05,0.183821398,0,0,7.77E-05,0.178022615,7.77E-05,0.178022615,0.011240243,0.004059148
5,1.00E-09,8.65E-05,0.213300318,0.000119,0.214007782,0.146948616,0.00565971,0.00010278,0.216483905,0,0,8.35E-05,0.213300318,8.35E-05,0.213300318,0.150066125,0.006013442
5,1.00E-10,0.00088286,0.101689409,0.004139064,0.435022742,0.649111772,0.035412606,0.003782238,0.448018194,0.004172347,0.442820013,0.001692331,0.102664068,0.001692331,0.102664068,0.650052871,0.034762833
5,1.00E-11,0.005740303,0.106914213,0.024551321,0.893085787,0.952955416,0.999359795,0.024982545,0.896286812,0.026963673,0.897567222,0.025879117,0.728233035,0.025879117,0.728233035,0.952325701,0.997759283
5,1.00E-12,0.008476842,0.110885046,0.04099336,0.983384198,0.957709904,0.999660902,0.039331725,0.985757884,0.046045917,0.986096982,0.046035384,0.982706002,0.046035384,0.982706002,0.956686183,0.999321804
6,1.00E-07,9.14E-05,0.165175719,9.18E-05,0.165175719,0,0.004472843,0,0,0,0,9.14E-05,0.165175719,9.14E-05,0.165175719,0,0.004472843
6,1.00E-08,7.46E-05,0.190291262,7.46E-05,0.190291262,0,0.004530744,0,0,0,0,7.46E-05,0.190291262,7.46E-05,0.190291262,0,0.004530744
6,1.00E-09,9.88E-05,0.23921131,0.00016123,0.23921131,0.411024897,0.004464286,0.000156928,0.2421875,0,0,0.000108514,0.238467262,0.000108514,0.238467262,0.409734138,0.00483631
6,1.00E-10,0.000985764,0.112979153,0.004317326,0.496301278,0.658252491,0.049428379,0.003977333,0.503362475,0.004348936,0.50268998,0.001545845,0.11466039,0.001545845,0.11466039,0.658377205,0.053463349
6,1.00E-11,0.005929516,0.117425539,0.02571952,0.869222869,0.966085531,0.999315303,0.024113476,0.876412188,0.027161396,0.874358097,0.024568897,0.718931873,0.024568897,0.718931873,0.965518788,0.998288257
6,1.00E-12,0.008045723,0.117161716,0.03648559,0.979207921,0.955391066,1,0.036448468,0.983828383,0.041854905,0.983828383,0.041864608,0.982178218,0.041864608,0.982178218,0.955730519,1
7,1.00E-07,7.52E-05,0.185150376,7.54E-05,0.185150376,0,0.002506266,0,0,0,0,7.53E-05,0.184837093,7.53E-05,0.184837093,0,0.002506266
7,1.00E-08,7.04E-05,0.197052875,8.25E-05,0.197052875,0.048340571,0.002311471,7.98E-05,0.200809015,0,0,7.04E-05,0.196763941,7.04E-05,0.196763941,0.049241618,0.002311471
7,1.00E-09,9.13E-05,0.236673774,0.000118497,0.239415169,0.290938535,0.007919586,0.000116063,0.242156564,0,0,9.49E-05,0.237282973,9.49E-05,0.237282973,0.290226757,0.008224185
7,1.00E-10,0.000985626,0.088902148,0.004562589,0.409606205,0.785463092,0.031921241,0.004413729,0.410202864,0.004596061,0.415871122,0.001467417,0.090095465,0.001467417,0.090095465,0.791703463,0.043854415
7,1.00E-11,0.005781411,0.110953058,0.027291845,0.897937411,0.95712886,0.999644381,0.028605966,0.893669986,0.030137295,0.900071124,0.028838821,0.696301565,0.028838821,0.696301565,0.959380538,0.997866287
7,1.00E-12,0.00687362,0.114206981,0.032561035,0.983466013,0.954966362,0.999693815,0.032881039,0.988058788,0.038606297,0.988058788,0.038632753,0.987752603,0.038632753,0.987752603,0.955593511,0.999693815
8,1.00E-07,9.73E-05,0.172595985,9.73E-05,0.171891511,0,0.006340261,0,0,0,0,9.73E-05,0.171539274,9.73E-05,0.171539274,0,0.006340261
8,1.00E-08,6.21E-05,0.186879247,6.56E-05,0.187401986,0.043183426,0.004181913,6.40E-05,0.188970204,0,0,6.21E-05,0.186356508,6.21E-05,0.186356508,0.043194687,0.004181913
8,1.00E-09,0.000108422,0.273237679,0.000175821,0.275421085,0.562358961,0.004990643,0.000170589,0.278540237,0,0,0.000103848,0.273237679,0.000103848,0.273237679,0.573940755,0.005302558
8,1.00E-10,0.000822601,0.084199212,0.00445903,0.345395915,0.680459732,0.02938015,0.004115493,0.355786456,0.004492532,0.350412039,0.001140164,0.087423862,0.001140164,0.087423862,0.679444365,0.025797205
8,1.00E-11,0.00464121,0.106859704,0.023479184,0.865908307,0.958752278,0.998621165,0.022938516,0.86797656,0.026290518,0.869700103,0.024755434,0.735608411,0.024755434,0.735608411,0.958576694,0.998276456
8,1.00E-12,0.007812925,0.110785272,0.038628572,0.987618117,0.95465689,1,0.039210375,0.989573151,0.045393362,0.98989899,0.045390924,0.987618117,0.045390924,0.987618117,0.953470558,0.999348322
9,1.00E-07,9.69E-05,0.172119973,9.70E-05,0.172119973,0,0.006134969,0,0,0,0,9.71E-05,0.172119973,9.71E-05,0.172119973,0,0.006134969
9,1.00E-08,7.96E-05,0.180115764,8.93E-05,0.180115764,0.000520024,0.00102145,8.44E-05,0.184882533,0,0,7.95E-05,0.179775281,7.95E-05,0.179775281,0.000642343,0.00102145
9,1.00E-09,0.000123644,0.253805427,0.000210086,0.254798147,0.456459591,0.007610854,0.000190795,0.258107214,0,0,0.000122553,0.253805427,0.000122553,0.253805427,0.452879013,0.007610854
9,1.00E-10,0.000720727,0.091240876,0.003607527,0.42953397,0.651081311,0.034531162,0.003353592,0.434868052,0.00362945,0.431779899,0.001528571,0.092925323,0.001528571,0.092925323,0.65255348,0.040426727
9,1.00E-11,0.005022362,0.109370103,0.021904259,0.877154497,0.957554738,0.999373237,0.022104938,0.881855218,0.024811466,0.880288311,0.022613706,0.735819492,0.022613706,0.735819492,0.958039547,0.997492949
9,1.00E-12,0.00927563,0.143716578,0.036898011,0.968248663,0.950585364,0.999665775,0.035779625,0.973262032,0.040897328,0.973262032,0.040873051,0.968582888,0.040873051,0.968582888,0.951832916,0.998997326
10,1.00E-07,7.92E-05,0.17547996,8.10E-05,0.174806332,3.02E-05,0.001010441,7.84E-05,0.178511283,0,0,7.92E-05,0.174806332,7.92E-05,0.174806332,1.51E-05,0.001010441
10,1.00E-08,6.30E-05,0.184981154,6.52E-05,0.184981154,0.000598661,0.001449696,6.31E-05,0.190200058,0,0,6.31E-05,0.184981154,6.31E-05,0.184981154,0.000624682,0.001449696
10,1.00E-09,8.03E-05,0.210045662,0.000114357,0.211350294,0.121207416,0.003913894,0.00011031,0.213633399,0,0,8.68E-05,0.210045662,8.68E-05,0.210045662,0.122332698,0.003913894
10,1.00E-10,0.00092509,0.103305785,0.004902538,0.447658402,0.708457555,0.03822314,0.004501023,0.454889807,0.004931535,0.453168044,0.001381203,0.104683196,0.001381203,0.104683196,0.708600768,0.044077135
10,1.00E-11,0.004845707,0.102723991,0.02505992,0.873646209,0.949543559,0.998359042,0.023682419,0.881194618,0.027544716,0.878897276,0.024763945,0.705940269,0.024763945,0.705940269,0.948198469,0.997374467
10,1.00E-12,0.007845032,0.128761182,0.029775035,0.976687449,0.938341314,0.999186771,0.030684263,0.982380049,0.03540564,0.981837896,0.035396395,0.979398211,0.035396395,0.979398211,0.939102753,0.999186771
